#{"t_start": 1734358070.976824, "env_id": "RMSA_ENV-v0"}
r,l,t
100.0,100,97.400469
100.0,100,97.434714
96.0,100,97.467718
100.0,100,97.500781
100.0,100,97.533163
100.0,100,97.566154
96.0,100,97.600646
98.0,100,97.63423
100.0,100,97.666542
98.0,100,97.700372
100.0,100,97.73308
100.0,100,97.76605
100.0,100,97.800154
100.0,100,97.832438
100.0,100,97.865054
100.0,100,97.898268
100.0,100,97.932987
98.0,100,97.966516
100.0,100,97.997306
100.0,100,98.031555
100.0,100,98.065012
100.0,100,98.096411
100.0,100,98.127075
98.0,100,98.161732
100.0,100,98.195274
100.0,100,98.228632
100.0,100,98.261992
98.0,100,98.295174
98.0,100,98.329397
100.0,100,98.361543
100.0,100,98.394434
100.0,100,98.425786
94.0,100,98.459545
100.0,100,98.491541
100.0,100,98.524353
98.0,100,98.556115
